,subject,predicate,object
1037,Marten,type,Insect
1038,Marten,type,Mammal
1041,Meerkat,abstract,"The meerkat (Suricata suricatta) or suricate is a small mongoose found in southern Africa. It is characterised by a broad head, large eyes, a pointed snout, long legs, a thin tapering tail and a brindled coat pattern. The head-and-body length is around 24â€“35 cm (9.4â€“13.8 in), and the weight is typically between 0.62 and 0.97 kg (1.4 and 2.1 lb). The coat is light grey to yellowish brown with alternate, poorly defined light and dark bands on the back. Meerkats have foreclaws adapted for digging and have the ability to thermoregulate to survive in their harsh, dry habitat. Three subspecies are recognised. Meerkats are eusocial, and form packs of two to 30 individuals each that occupy home ranges around 5 km2 (1.9 sq mi) large. There is a social hierarchyâ€”generally dominant individuals in a pack breed and produce offspring, and the nonbreeding, subordinate members provide altruistic care to the pups. They live in rock crevices in stony, often calcareous areas and in large burrow systems in plains. The burrow systems, typically 5 m (16 ft) in diameter with around 15 openings, are large underground networks consisting of two to three levels of tunnels. These tunnels are around 7.5 cm (3.0 in) high at the top and wider below, and extend up to 1.5 m (4.9 ft) into the ground. Burrows have moderated internal temperatures and provide a comfortable microclimate that protects meerkats in harsh weather and at extreme temperatures. Meerkats are active during the day, mostly in the early morning and late afternoon; they remain continually alert and retreat to burrows (or 'boltholes') on sensing danger. They use a broad variety of calls to communicate among one another for different purposes, for example to raise alarm on sighting a predator. Primarily insectivorous, meerkats feed heavily on beetles and lepidopterans, though they also include amphibians, arthropods, small birds, reptiles and plant material in their diet. Breeding occurs round the year, with peaks during heavy rainfall; after a gestation of 60 to 70 days a litter of three to seven pups is born. Commonly found in arid, open habitats with little woody vegetation, meerkats occur in southwestern Botswana, western and southern Namibia, northern and western South Africa; the range barely extends into southwestern Angola. With no significant threats to the populations, the meerkat is listed as Least Concern on the IUCN Red List. Meerkats are widely depicted in television, movies and other media."
1042,Meerkat,type,BiologicalLivingObject
1044,Meerkat,type,Mammal
1048,Meerkat,type,Animal
1050,Meerkat,type,Insect
1053,Meerkat,type,Eukaryote
1055,Mink,abstract,"Mink are dark-colored, semiaquatic, carnivorous mammals of the genera Neovison and Mustela, and part of the family Mustelidae, which also includes weasels, otters and ferrets. There are two extant species referred to as ""mink"": the American mink and the European mink. The extinct sea mink is related to the American mink, but was much larger. The American mink is larger and more adaptable than the European mink but, due to variations in size, an individual mink usually cannot be determined as European or American with certainty without looking at the skeleton; however, all European mink have a large white patch on their upper lip, whereas only some American mink have this marking: therefore, any mink without the patch is certainly of the American species. Taxonomically, both American and European mink were placed in the same genus Mustela, but most recently, the American mink has been reclassified as belonging to its own genus, Neovison. The American mink's fur has been highly prized for use in clothing, with hunting giving way to farming. Their treatment on fur farms has been a focus of animal rights and animal welfare activism. American mink have established populations in Europe (including Great Britain) and South America, after being released from mink farms by animal rights activists, or otherwise escaping from captivity. In the UK, under the Wildlife & Countryside Act 1981, it is illegal to release mink into the wild. In some countries, any live mink caught in traps must be humanely killed. American mink are believed by some to have contributed to the decline of the less hardy European mink through competition (though not through hybridizationâ€”native European mink are in fact more closely related to polecats than to North American mink). Trapping is used to control or eliminate introduced American mink populations. Mink oil is used in some medical products and cosmetics, as well as to treat, preserve and waterproof leather."
1056,Mink,type,Animal
1059,Mink,type,Mammal
1060,Mink,type,Eukaryote
1061,Mink,type,Species
1063,Mink,type,Mammal
1065,Monkey,abstract,"Monkey is a common name that may refer to groups or species of mammals, in part, the simians of infraorder Simiiformes. The term is applied descriptively to groups of primates, such as families of New World monkeys and Old World monkeys. Many monkey species are tree-dwelling (arboreal), although there are species that live primarily on the ground, such as baboons. Most species are also active during the day (diurnal). Monkeys are generally considered to be intelligent, especially the Old World monkeys of Catarrhini. Simians and tarsiers emerged within haplorrhines some 60 million years ago. New World monkeys and catarrhine monkeys emerged within the simians some 35 million years ago. Old World monkeys and Hominoidea emerged within the catarrhine monkeys some 25 million years ago. Extinct basal simians such as Aegyptopithecus or Parapithecus [35-32 million years ago], eosimiidea and sometimes even the Catarrhini group are also considered monkeys by primatologists. Lemurs, lorises, and galagos are not monkeys; instead they are strepsirrhine primates. Like monkeys, tarsiers are haplorhine primates; however, they are also not monkeys. Apes emerged within ""monkeys"" as sister of the Cercopithecidae in the Catarrhini, so cladistically they are monkeys as well. There has been resistance to directly designate apes (and thus humans) as monkeys, so ""Old World monkey"" may be taken to mean the Cercopithecoidea or the Catarrhini. That apes are monkeys was already realized by Georges-Louis Leclerc, Comte de Buffon in the 18th century. Monkeys, including apes, can be distinguished from other primates by having only two pectoral nipples, a pendulous penis, and a lack of sensory whiskers."
